Year,pitTimeCoeff,pitTime_Inter,pitTime_R2
2011.0,236.50130101319849,60719.852646043204,0.004397467660022802
2012.0,834.9690666790062,41336.190651941346,0.048213875417592034
2013.0,856.3158317901335,48735.70251351556,0.04365556245593816
2014.0,5512.791791618064,75931.70284512342,0.010299228240123304
2015.0,971.3509610151749,45995.796998915306,0.03648672029336186
2016.0,-8285.025807368538,368718.4964967498,0.003781743724899922
2017.0,-1621.8143941681426,118757.87484510533,0.0007272679276468796
2018.0,955.2114126316603,26748.538710432724,0.08309059732029767
2019.0,326.9757306257634,36630.7119378638,0.006388883755860664
2020.0,-11209.730244470556,417472.75991676794,0.007092207806102757
2021.0,-11316.393484125016,547535.1309101714,0.005838627973326127
2022.0,-11280.105191941595,432973.83284896286,0.005123454696642327
