FastestLapSpeed_Coeff,FastestLapSpeed_Inter,FastestLapSpeed_R2,Year
-0.08921680218118472,204.23552341416712,0.00039881419267095986,2009.0
0.057326812422355176,203.29417183038072,0.000249479284457621,2008.0
-0.1590885580610799,207.39545264119303,0.001563588117025727,2007.0
-0.2691032310446358,209.85268885910767,0.0044221668000606895,2006.0
-0.027572867128015592,211.76952278011925,4.9202525067570946e-05,2005.0
-0.3474392472696403,216.23831689291853,0.008278297974874227,2004.0
-0.1730864002208465,202.8797232943772,0.002138045873451011,2010.0
-0.6298569299661836,203.52283695429722,0.038469251871171894,2011.0
-0.1346595252417751,199.4671394135242,0.0019590279009843448,2012.0
-0.23320759624987258,201.65955759296958,0.004832410734943338,2013.0
-0.080740555264761,197.02499137515568,0.0004746164683071541,2014.0
-0.4288308943577658,200.36448997511607,0.010777167452503345,2015.0
-0.15316821731447805,200.92967565982704,0.0018742954387559463,2016.0
-0.05806163485444943,207.78755142503098,0.0001866828989111058,2017.0
-0.5010543437580085,212.2358268507132,0.014472598418415972,2018.0
-0.41331603081203266,212.63374237520355,0.01092183089886789,2019.0
-0.5077567177952219,222.43060620105635,0.02507972858091778,2020.0
-0.39980293956943086,215.34770629091958,0.013406125779049538,2021.0
-0.6227383781941913,213.40643015558294,0.022622534890053836,2022.0
