Year,fastestLapTimeCoeff,fastestLapTime_Inter,fastestLapTime_R2
2004.0,242.51435052752473,82483.46187911516,0.014211858015508505
2005.0,278.0541183204121,83730.66468772222,0.01674598160020624
2006.0,213.74528378021455,83426.02271782406,0.015407807506067628
2007.0,167.04565153958845,85390.4002145451,0.007291851171868036
2008.0,151.06654840304324,87502.74388813793,0.005006371017883926
2009.0,149.87737959931746,91505.77387262823,0.004518533222890642
2010.0,112.50377325599288,93206.81182965108,0.002181615521385516
2011.0,358.4465614107464,91712.32060635986,0.041217892133881384
2012.0,99.01742168340199,93787.73207915814,0.0029912091836309385
2013.0,185.6479412386465,92769.07735070927,0.010550788674249745
2014.0,246.78680451021242,93301.20157907219,0.00980817049310545
2015.0,149.67043240991313,92722.481828725,0.003543329355879088
2016.0,44.92817808946356,92753.73004814272,0.00043958663297349876
2017.0,118.04909020007693,89406.01610904586,0.002244319165620512
2018.0,135.12144565163288,88199.61151071443,0.0031207287605243827
2019.0,55.77712028765591,88437.23709179107,0.0006084918382602833
2020.0,224.31819298350422,83808.11519810774,0.007579420500708256
2021.0,111.00590680088686,84584.16487689714,0.0030164274013039227
2022.0,34.60187953865868,86801.56300726187,0.00029285021141078893
