Year,gridCoeff,grid_Inter,grid_R2
1950.0,1.0752246078879244,4.124562204964215,0.5619322269698164
1951.0,1.0171103677500026,3.2438735051138723,0.26351171584572264
1952.0,1.0843364313097947,3.4247065593542345,0.4811074518073324
1953.0,1.3172475743267784,2.160801380169149,0.47775782802427147
1954.0,0.9679734060497022,5.665790509389406,0.2963903701738315
1955.0,1.5525808365470188,1.894704835360427,0.477251073532004
1956.0,1.0638395686910973,5.666453055453006,0.3021791255282875
1957.0,1.1147466039707419,3.6253918495297803,0.39590334798151494
1958.0,1.3022990137863377,2.76163060876749,0.46562964738488233
1959.0,1.3201058201058198,1.4730158730158749,0.6023557039009377
1960.0,0.5298969755192634,6.803060920263689,0.262951202742551
1961.0,1.114558741841411,2.9539126510206923,0.44596727312645223
1962.0,0.7972041151168462,4.4227085273380355,0.30818385920807423
1963.0,0.9588922334645431,3.871711890235697,0.319233957126571
1964.0,0.8308879117488234,4.059970685798041,0.3122700840179291
1965.0,1.0284729146303726,2.3265666979375927,0.5070828486402328
1966.0,1.7645178128670238,0.7352864413415094,0.6748436237473454
1967.0,1.3184037038900909,2.6740476070655754,0.48070395026599955
1968.0,0.8584605672332766,5.248252238771071,0.23240874335452055
1969.0,1.1207810951329362,2.799370533307827,0.39608490548451547
1970.0,0.8512630913928262,5.075109224704804,0.24987868404510194
1971.0,1.1225627404099596,3.025089361933685,0.44556978594089425
1972.0,0.9401624778244404,4.863801812565172,0.3397583279800317
1973.0,0.9867049294561041,3.9129871200257735,0.3549912187032602
1974.0,1.1084800345467578,4.121910545949024,0.41578157198018273
1975.0,0.9716076762219366,4.664030936096371,0.37890467110834236
1976.0,1.0697691417103343,4.084880555222176,0.46117248175520986
1977.0,0.9432957139504613,5.246199304503662,0.3398842846132619
1978.0,0.9491232195646332,5.1317522171459276,0.3402514318231613
1979.0,1.1840051707422168,3.5580006463427782,0.4745602455316761
1980.0,1.1138297542822502,4.2119885305167015,0.38954583519958685
1981.0,1.0479838709677416,4.247890818858564,0.33627627172344465
1982.0,1.0899101254192045,5.37184297096182,0.3679277980502501
1983.0,1.1553299629164318,4.744625240403241,0.3717234329798491
1984.0,1.4142825509300259,3.355801594331272,0.4260511675896398
1985.0,0.9883898731088847,5.075655120339388,0.2793617812304342
1986.0,1.4085111484056583,1.8851993926316606,0.4969641760227763
1987.0,1.2184895175549382,3.699040161656983,0.37544669345203263
1988.0,1.2514127136487492,2.547536846668317,0.5540790162202329
1989.0,1.1110604239119546,5.189175361012122,0.3180910969147346
1990.0,1.0540274148910391,3.5876423234435784,0.39729665073256615
1991.0,1.1761849894549985,3.363057480436783,0.4865406366417505
1992.0,1.4888022940229833,1.9633587959147452,0.6386674386441409
1993.0,1.1318597560975612,3.539634146341461,0.4328012702502392
1994.0,1.342160294146084,3.1447912551761483,0.5463861609341681
1995.0,1.1514504033586876,3.134592662649604,0.5321095716795734
1996.0,1.2659531621710152,1.6067168948055235,0.5839606197259408
1997.0,1.0791491174104397,2.9760541384695465,0.48092563409939804
1998.0,1.100193451417805,2.2119882347018747,0.559555221051186
1999.0,1.0556031862324828,2.960613760242759,0.465872938086095
2000.0,1.037768130771947,2.9598888615515095,0.4989136899908775
2001.0,1.1899729696689805,2.1223224351747447,0.5936242283453937
2002.0,1.091947781952486,2.272814908159649,0.5072145047125443
2003.0,1.0162963680074866,2.4475047194927155,0.507582743687772
2004.0,0.9270089811175392,2.5491657333628197,0.54379719024654
2005.0,0.7298784189257156,4.321460822912513,0.3545998798452459
2006.0,0.9964123959423632,2.4494825241863722,0.5128965169138507
2007.0,0.9967833224411974,1.7831695515837573,0.6265556725792032
2008.0,0.7920310807544602,3.1579729475691325,0.452590082157438
2009.0,0.8345897164395134,2.8312431392739574,0.5008768431432316
2010.0,1.0004630301750497,1.9176653160703356,0.6247594312077616
2011.0,0.9609273739024218,1.9772119660729626,0.6735537524202573
2012.0,0.828096802554255,3.6197037578292406,0.5304960299455422
2013.0,0.8619575636745346,2.4078336625796393,0.5916558636675351
2014.0,0.8885733172270777,2.501730016477339,0.5495046480462438
2015.0,0.926108470949982,1.9837576416095617,0.5715653156817007
2016.0,0.9130630043183334,2.22435312248013,0.5948106002981558
2017.0,0.9212758218253674,2.297397769516728,0.5521809786352543
2018.0,0.9285341602768441,2.243812396409286,0.591099877980239
2019.0,0.7522975472408605,2.7426605505836124,0.4340416151384222
2020.0,0.7972426998836307,2.775520888163042,0.4787490133162373
2021.0,0.7511324514650655,2.8005552054150673,0.45501340689923175
2022.0,0.7358736241531748,3.351578916178796,0.39868845712008716
