raceId,circuitId,count,mean,std,min,25%,50%,75%,max
1,1,1005.0,97427.74527363184,16128.914510395776,87706.0,89832.0,91080.0,94441.0,185713.0
18,1,746.0,98557.18230563002,19278.23753714359,87418.0,89514.5,90703.0,93137.75,209104.0
36,1,1143.0,90397.86964129483,4636.033000542174,85235.0,88323.0,89270.0,90450.0,122011.0
55,1,914.0,101650.96170678338,21432.50966209598,86045.0,88868.0,91339.0,99805.75,230664.0
71,1,1056.0,90332.47253787878,4846.383723700526,85683.0,87777.75,88934.0,90555.0,120297.0
90,1,980.0,90808.45714285714,34465.03808519131,84125.0,86967.25,88092.0,90081.5,1150467.0
108,1,841.0,99997.81688466112,18671.205704232445,87724.0,89788.0,91575.0,99098.0,178163.0
124,1,562.0,107321.21708185054,54285.46013534461,88541.0,92529.25,95077.5,100144.0,1174484.0
141,1,913.0,104914.22891566265,23407.87329630042,88214.0,91360.0,93178.0,99580.0,170345.0
158,1,863.0,99751.7056778679,17637.174161690236,91481.0,94119.0,95047.0,96775.0,381969.0
175,1,740.0,102112.6608108108,14679.22407383404,92112.0,94980.75,96458.5,99295.5,169179.0
191,1,713.0,97903.0701262272,8007.4212699190375,91649.0,95456.0,96470.0,97763.0,213827.0
207,1,778.0,96326.91902313624,14937.439182663697,90585.0,93131.0,94628.5,96089.0,421524.0
224,1,812.0,99021.05049261084,8259.53151334195,93421.0,95907.25,97084.5,99058.5,214469.0
338,1,919.0,101076.80957562568,37312.55854575753,88358.0,90962.0,92981.0,99156.0,1097260.0
841,1,1083.0,95618.77377654663,19581.75074808305,88947.0,91708.0,93421.0,95951.0,708170.0
860,1,1044.0,98469.92911877394,13765.035674302397,89187.0,92173.25,94079.5,96656.5,173810.0
880,1,1124.0,94959.43505338079,5283.45542594868,89274.0,92260.5,93537.5,95395.75,132441.0
900,1,947.0,100366.24498416051,26279.06687336606,92478.0,94729.0,95922.0,98500.5,841218.0
926,1,703.0,97062.15504978663,11838.111104097747,90945.0,92651.5,93850.0,95153.5,166959.0
948,1,1017.0,115614.2831858407,146772.44552181844,88997.0,92738.0,93508.0,94769.0,1243269.0
969,1,942.0,91105.88853503185,8234.998513014298,86538.0,88769.75,90147.0,91258.25,296773.0
989,1,937.0,93258.0576307364,10615.771660886308,85945.0,88303.0,89944.0,91259.0,140530.0
1010,1,1038.0,90420.98265895953,4279.495719137204,85580.0,88682.0,89368.0,90879.0,148213.0
1076,1,1042.0,92135.94049904031,17548.098858805643,80260.0,83755.25,85020.5,87191.75,160036.0
