raceId,circuitId,count,mean,std,min,25%,50%,75%,max
24,7,1140.0,83696.95350877193,11791.395598497229,77387.0,79604.5,80333.5,81341.25,158997.0
41,7,1192.0,89093.85738255034,17889.46415598319,76367.0,78834.25,80223.0,87751.25,155301.0
61,7,1174.0,82999.8807495741,12375.848811772636,75841.0,78094.25,79110.0,81101.75,250136.0
78,7,1136.0,81664.07834507042,55415.17919101075,74384.0,76395.75,77353.0,79200.0,1921214.0
97,7,1154.0,77728.34835355286,5868.059407122399,73622.0,75396.25,76449.5,77600.75,175334.0
115,7,1043.0,80029.38734419942,7163.02304555584,76040.0,77735.0,78759.0,80018.5,219296.0
131,7,1273.0,81926.65278868814,11263.23841123326,75960.0,77994.0,79001.0,80457.0,195442.0
148,7,957.0,84126.5329153605,13694.679650213811,77205.0,80042.0,80741.0,82011.0,342697.0
165,7,1292.0,88222.34752321981,10497.981203180965,79049.0,81610.0,82690.0,96482.75,261594.0
180,7,957.0,89516.00835945664,15951.829839290769,80382.0,82424.0,83752.0,85880.0,282892.0
197,7,888.0,91242.9222972973,22904.736264880703,79379.0,82713.25,83933.0,85842.0,546038.0
213,7,796.0,87191.92462311558,13712.889914534706,79635.0,82077.0,83269.5,84617.25,205425.0
231,7,920.0,85562.10978260869,4543.016545400938,81916.0,83654.0,84608.5,85696.75,133000.0
344,7,1445.0,82746.44152249135,5628.5297222284225,76972.0,80291.0,81382.0,83222.0,160274.0
847,7,1488.0,220450.71505376344,912386.7704067893,76956.0,92365.5,103315.0,121544.75,7507547.0
866,7,1537.0,80304.94339622642,3290.0398971423915,75752.0,78427.0,79582.0,81104.0,102436.0
886,7,1460.0,80961.11849315069,3498.557655464478,76182.0,79059.75,80396.5,81784.5,102836.0
906,7,1174.0,86272.66950596252,13728.243455862597,78504.0,79913.0,80728.0,82294.5,149693.0
932,7,1331.0,80396.10743801652,3629.3846032382444,76987.0,78794.0,79657.0,80781.0,134767.0
954,7,1371.0,79753.7359591539,4253.487497775818,75599.0,77856.5,78776.0,79793.5,113014.0
975,7,1172.0,81126.52133105801,11289.550555607746,74551.0,76841.25,77575.0,78744.75,176877.0
995,7,1182.0,79538.20558375634,11267.494754824349,73864.0,75663.75,76557.5,77542.5,159229.0
1016,7,1310.0,78023.66946564885,3246.2521221007173,73078.0,76748.25,77433.0,78452.25,126344.0
1082,7,1262.0,82985.41204437401,11092.067673494594,75749.0,78157.75,79088.0,79988.25,140984.0
