raceId,circuitId,count,mean,std,min,25%,50%,75%,max
5,4,942.0,89878.92675159236,14542.788933920587,82762.0,84155.75,84940.0,86024.0,146562.0
21,4,1002.0,91046.7624750499,16284.03458958971,81670.0,83264.75,84218.0,86266.5,162313.0
39,4,1044.0,86263.06896551725,6293.0155499888315,82680.0,84102.0,84722.5,85797.25,160680.0
58,4,1257.0,80710.33651551313,8448.04212066294,76648.0,78437.0,79317.0,80711.0,329766.0
75,4,981.0,81753.06625891947,17069.677885029538,75641.0,77409.0,78132.0,80035.0,391146.0
94,4,1106.0,81294.19349005425,4716.833800633557,77450.0,79231.75,79949.5,81044.5,109599.0
112,4,917.0,89375.64994547438,16115.348861659959,80143.0,82218.0,84068.0,85571.0,160693.0
128,4,913.0,85200.83023001095,5635.843595757385,80355.0,83365.0,83921.0,84530.0,152047.0
145,4,1160.0,85841.19655172413,5456.504385727506,81151.0,83419.0,84398.5,86175.5,140004.0
162,4,1135.0,88307.3462555066,5011.829825709457,84470.0,86514.0,87277.0,87896.0,134527.0
179,4,1114.0,88875.99281867145,5182.180899665472,84982.0,87026.25,87880.5,88857.5,193764.0
195,4,1159.0,88617.77480586713,5248.975857853128,84275.0,86708.5,87645.0,88714.0,188069.0
212,4,1190.0,86331.24285714286,4848.422096404859,82242.0,84186.0,85249.0,86311.25,143021.0
230,4,596.0,113189.83724832215,8744.876785791637,105517.0,110355.25,111663.0,113210.75,264604.0
341,4,1320.0,89306.26666666666,4202.255380223413,84357.0,87024.75,88243.5,90126.75,131181.0
845,4,1491.0,92749.42052313883,4905.421113307249,86727.0,90099.5,91549.0,93594.5,119895.0
864,4,1359.0,91803.58646063283,4482.061143322594,86250.0,89405.0,90758.0,92090.0,124682.0
884,4,1323.0,91925.91761148904,6104.794915034336,86217.0,89300.0,90714.0,92091.0,213187.0
904,4,1361.0,93876.15503306393,4208.738221763077,88918.0,91938.0,92881.0,94282.0,121157.0
930,4,1242.0,94366.14251207729,4380.282962113659,88270.0,92254.5,93318.0,94851.25,124449.0
952,4,1234.0,93990.02998379254,8381.8330441957,86948.0,90520.5,91744.5,92785.25,133185.0
973,4,1108.0,89566.00631768953,7864.0691314028445,83593.0,86754.25,87598.0,88723.0,160999.0
993,4,1016.0,89232.64173228346,16487.287552266556,78441.0,81718.75,83056.0,84797.25,157134.0
1014,4,1274.0,87557.53924646782,12068.851371549195,78492.0,82443.0,83741.0,85281.75,166477.0
1036,4,1274.0,85305.00706436421,3825.6729715105193,78183.0,83509.25,84778.5,85702.75,132577.0
1055,4,1246.0,86325.77929373996,8162.403592587035,78149.0,83155.5,84381.0,85588.75,160997.0
1079,4,1230.0,90071.61056910569,4532.823770183433,84108.0,88054.25,89122.0,90237.0,135888.0
