raceId,circuitId,count,mean,std,min,25%,50%,75%,max
16,18,1070.0,79104.38504672897,11172.14233481035,73733.0,74868.25,75375.0,76037.0,125888.0
35,18,1266.0,80924.80726698262,11703.800968178908,73736.0,75225.75,76288.5,80302.25,136456.0
52,18,1172.0,76832.6023890785,9490.793303741317,72445.0,74292.75,75077.5,76269.0,262997.0
70,18,1224.0,79271.36274509804,12931.222066630105,72162.0,74141.0,74808.0,76192.75,133061.0
87,18,1186.0,78639.2065767285,57134.09144912329,72268.0,74131.5,74877.0,76087.5,2022173.0
107,18,1232.0,76011.63311688312,6127.277184550991,71473.0,72835.75,73583.0,75911.75,112710.0
110,18,777.0,104839.91377091377,23733.881667713766,82032.0,86620.0,90571.0,132601.0,220057.0
126,18,1197.0,80097.68421052632,17097.317590433697,76079.0,77575.0,78578.0,79542.0,641546.0
143,18,1119.0,85571.18498659518,17972.74923377921,75693.0,78507.0,79747.0,90454.5,472855.0
159,18,974.0,78847.16016427104,4634.9758814250545,74755.0,77030.0,78026.5,79070.75,139655.0
176,18,1028.0,82739.11575875487,10499.232117107626,78448.0,80125.75,81341.0,82381.25,328467.0
192,18,1148.0,82933.06794425087,3991.8561880712427,79337.0,81072.25,82042.5,83303.0,114315.0
208,18,1361.0,81519.0484937546,7166.172569727666,78397.0,79609.0,80453.0,81124.0,262641.0
225,18,1102.0,96868.48638838476,10280.940117235548,81547.0,86343.5,98036.0,100473.75,143178.0
354,18,1649.0,80874.46027895695,14937.324310532962,73851.0,77043.0,77919.0,79692.0,477507.0
859,18,1552.0,79987.84020618557,3793.017826696455,75324.0,78011.0,78986.5,80573.25,125881.0
879,18,1395.0,89864.10537634409,10469.816735137585,78069.0,82003.5,87806.0,92630.5,150470.0
899,18,1441.0,79551.76058292852,3599.9728946125715,75436.0,77728.0,78741.0,79882.0,107301.0
917,18,1231.0,77145.1121039805,4350.2602253282375,73555.0,75306.5,76065.0,76897.0,108299.0
944,18,1327.0,78785.46194423511,3936.7206462137915,74832.0,76866.5,77790.0,78729.0,106368.0
967,18,1292.0,153655.55417956656,292332.76002978696,85305.0,88410.5,99789.5,121061.5,2126744.0
987,18,1167.0,78541.67694944302,13580.55042919363,71044.0,73750.0,74524.0,75713.0,139111.0
1008,18,1318.0,74915.37253414265,3198.4388710604117,70540.0,73307.25,74517.0,75455.5,102275.0
1029,18,1381.0,78582.8472121651,10878.301738421591,70698.0,73826.0,74823.0,76502.0,139143.0
1071,18,1360.0,79611.81911764706,12211.4784019171,71010.0,74555.0,75624.0,77346.0,149633.0
