raceId,circuitId,count,mean,std,min,25%,50%,75%,max
12,13,663.0,115552.62745098039,17581.037951830847,107263.0,108503.5,109227.0,111080.5,187956.0
30,13,814.0,114505.9312039312,8716.951688981006,107930.0,110024.5,111504.0,114283.0,181187.0
49,13,850.0,112448.35058823529,4886.443502496629,108036.0,110051.0,111424.0,112823.25,157259.0
86,13,730.0,126147.69726027397,19317.31236237276,111453.0,118305.5,120211.5,123622.5,229367.0
103,13,613.0,126997.63295269168,34724.72529478185,105108.0,107979.0,109493.0,123930.0,463888.0
137,13,733.0,112631.64256480218,4414.846583790239,107176.0,110587.0,111481.0,112346.0,138288.0
154,13,510.0,116570.86470588236,13467.655087334399,109758.0,112990.25,114199.0,116427.75,368912.0
170,13,828.0,123424.7850241546,17303.48821791544,113803.0,116299.5,117959.0,123090.0,224570.0
186,13,849.0,119180.42991755006,5974.724273862297,113955.0,116832.0,117749.0,119165.0,232416.0
203,13,467.0,145076.64239828693,55404.326761464756,123766.0,132392.0,134911.0,142345.0,957277.0
218,13,791.0,132219.6422250316,27058.000466596124,112692.0,117486.0,123044.0,136385.5,437359.0
236,13,600.0,122689.93333333333,18941.527381077332,113067.0,115392.5,117023.0,119702.25,309896.0
349,13,920.0,122916.42608695652,16387.614163199192,109069.0,113355.75,116331.0,126008.0,193630.0
852,13,888.0,120528.80518018018,13071.562008969555,109883.0,114286.75,116781.5,119560.25,196805.0
871,13,820.0,124004.40853658537,18072.36371194768,112822.0,116049.25,118120.0,120702.5,187963.0
891,13,890.0,116210.28764044945,4168.166381460391,110756.0,113484.0,115477.0,117043.5,140284.0
911,13,858.0,117314.94172494173,4672.095439511049,110511.0,114888.5,116211.0,117887.5,165961.0
937,13,736.0,119295.94565217392,11190.08679787521,112416.0,115625.0,116943.0,119300.75,347531.0
960,13,756.0,144289.09391534392,153100.59394701116,111583.0,114507.5,115679.0,118086.0,1160189.0
980,13,780.0,116336.5435897436,15325.554006346234,106577.0,110236.5,111721.0,113985.25,199349.0
1001,13,690.0,116911.71594202898,24002.165419193756,106286.0,108900.0,110436.0,112207.0,524604.0
1022,13,784.0,116425.1211734694,17688.98632092655,106409.0,109341.75,110761.5,112530.25,194682.0
1037,13,766.0,115836.79112271541,16161.843497489976,107483.0,109559.0,110615.0,112222.0,187938.0
1063,13,20.0,225823.95,12173.995436671777,207071.0,216573.5,225449.0,235694.5,245276.0
