raceId,circuitId,count,mean,std,min,25%,50%,75%,max
2,2,554.0,109763.1570397112,14390.635955856571,96641.0,99716.0,100995.0,120215.25,178640.0
19,2,1019.0,99586.00392541707,5986.463291350571,95366.0,97145.0,98091.0,99490.5,170790.0
37,2,1085.0,100573.28847926267,5196.9365520931215,96701.0,98514.0,99351.0,100352.0,136192.0
54,2,952.0,100348.58403361344,21131.64526052563,94803.0,96612.25,97828.0,100223.5,676839.0
72,2,871.0,100239.81859931114,5586.030961898247,95483.0,97533.5,98414.0,100787.5,159036.0
91,2,1002.0,100015.54391217565,6450.961903862306,94223.0,96597.0,97819.5,100812.25,156658.0
109,2,846.0,101998.90070921986,11855.306077803883,96412.0,98790.25,99837.0,101159.0,335793.0
125,2,921.0,104512.2345276873,13500.100037445052,98049.0,101087.0,102204.0,103647.0,344193.0
142,2,803.0,120450.20547945205,24500.196046116132,100962.0,106142.0,111616.0,121170.5,257968.0
174,2,915.0,104917.29508196721,10268.230216941227,98543.0,101228.0,102316.0,103819.5,166981.0
189,2,786.0,105806.88676844783,16303.591738734769,100267.0,102747.25,103597.0,105405.25,504090.0
339,2,1041.0,104026.1171950048,22763.450202904176,97054.0,99854.0,101804.0,105120.0,800555.0
842,2,1128.0,106844.6719858156,5981.515977732365,100571.0,103482.25,105339.0,107495.75,171696.0
861,2,1270.0,179399.37637795275,401990.8096812273,100722.0,109108.25,121541.5,131886.25,3138842.0
881,2,1089.0,108082.01285583104,9788.90250505699,99199.0,102710.0,104380.0,107886.0,221724.0
901,2,980.0,110075.0418367347,7265.143497418649,103066.0,106975.75,108393.5,110117.25,212008.0
927,2,942.0,110629.91613588111,10087.015461297013,102062.0,105928.25,107384.0,109558.25,166724.0
963,2,1040.0,105918.61442307693,11854.73063261584,96424.0,100084.75,101845.0,103283.75,159738.0
983,2,1024.0,98476.3115234375,3445.659191866579,94080.0,96901.0,98021.5,98940.0,119607.0
