raceId,circuitId,count,mean,std,min,25%,50%,75%,max
13,14,898.0,88049.08351893096,6248.013607437545,84739.0,85881.25,86615.0,87765.75,168376.0
31,14,1013.0,99650.07403751234,14833.771673339385,88047.0,94868.0,96612.0,97771.0,322148.0
48,14,1062.0,90796.26836158193,15166.191241921555,82871.0,84984.75,85744.0,86837.0,154787.0
67,14,1026.0,86428.36257309941,5508.526482190847,82559.0,84259.5,85249.5,86264.75,157809.0
85,14,1045.0,86136.43732057416,5745.549907585858,81504.0,83824.0,84520.0,85974.0,130507.0
104,14,904.0,86690.60398230089,6320.558522097367,81046.0,83560.75,84461.0,86866.0,126256.0
121,14,813.0,86474.21156211563,8143.046724213444,81832.0,83343.0,84474.0,86386.0,191702.0
138,14,811.0,88326.60542540075,15515.443861343092,83657.0,86056.0,86897.0,87887.5,510556.0
155,14,868.0,89274.42396313364,5213.327024938318,85073.0,87212.0,88329.0,89394.0,163579.0
171,14,669.0,103042.18385650225,27632.584207193562,85595.0,87616.0,88710.0,106028.0,337100.0
187,14,811.0,88680.92108508015,7676.077072849949,85579.0,86704.5,87256.0,88422.5,258071.0
204,14,876.0,90119.74200913242,14745.561164449033,85139.0,87397.25,88546.0,89944.0,484875.0
219,14,948.0,88592.76371308017,5550.073872723135,84808.0,86632.5,87395.5,88265.75,190004.0
237,14,627.0,90259.41626794258,5114.504288353034,86110.0,88055.0,89028.0,90164.0,157931.0
350,14,1105.0,88298.86968325792,3889.9595708791917,84139.0,86258.0,87450.0,89260.0,129714.0
853,14,889.0,95309.73903262093,36726.81926659084,86187.0,88778.0,90323.0,92231.0,1098880.0
872,14,1189.0,91499.33137089992,3758.2192743381297,87239.0,89654.0,90718.0,91889.0,121534.0
892,14,1069.0,89949.15528531338,3859.8973354589843,85849.0,88065.0,89306.0,90224.0,122897.0
912,14,1084.0,91257.94926199262,3757.915642259583,88004.0,89656.5,90483.5,91279.75,122312.0
938,14,935.0,90377.70695187166,4200.509757443973,86672.0,88429.0,89366.0,90804.0,139892.0
961,14,1020.0,90429.14215686274,26314.65312792047,85340.0,87365.0,88375.5,89735.75,914219.0
981,14,1001.0,87423.60739260739,3957.031604461265,83361.0,85800.0,86602.0,87698.0,121628.0
1002,14,925.0,88633.80972972974,10501.773962416895,82497.0,84767.0,85910.0,86818.0,143966.0
1023,14,990.0,87150.30101010101,5567.203926701017,81779.0,84680.5,85710.5,86830.5,128219.0
1038,14,924.0,121092.0,214453.39898188115,82746.0,85054.0,86017.0,86969.0,1685363.0
1065,14,889.0,92951.86951631046,16316.300876332505,84812.0,86444.0,87158.0,88104.0,164572.0
