raceId,circuitId,count,mean,std,min,25%,50%,75%,max
10,11,1162.0,85345.85456110154,4974.451771214098,81931.0,83698.5,84244.5,84906.75,151967.0
28,11,1332.0,84883.7102102102,5676.951807731297,81195.0,82838.0,83618.0,84773.5,161345.0
46,11,1371.0,83614.28884026258,4294.83429025428,80047.0,81780.5,82549.0,83630.5,111147.0
65,11,1098.0,99241.84244080145,13051.877287471083,83516.0,91949.5,96739.0,101360.0,164124.0
83,11,1143.0,86576.21522309711,20266.022746820705,81219.0,83217.5,84130.0,85930.0,585712.0
102,11,1185.0,84107.86751054852,4991.814764397824,79071.0,81618.0,82521.0,84348.0,121186.0
120,11,1114.0,86829.13734290843,5977.698445721758,82095.0,84365.0,85280.5,87381.5,196623.0
136,11,1350.0,80742.0674074074,4092.017106048576,76207.0,79013.25,79930.0,80933.0,116007.0
153,11,1306.0,82345.48468606432,30436.492618610868,76723.0,79366.25,80540.0,82049.0,1169677.0
169,11,1475.0,84592.69966101694,9019.210785389268,80028.0,82278.5,83344.0,84686.0,294917.0
185,11,1458.0,84415.07270233196,3979.822601721851,80699.0,82644.25,83624.0,84600.0,118218.0
202,11,1330.0,84199.28270676691,4760.304290728984,79286.0,81948.5,83321.5,84707.0,156160.0
217,11,1297.0,83373.5034695451,4890.484999888199,78372.0,81480.0,82220.0,83303.0,148207.0
235,11,988.0,84920.7914979757,4686.5185142324735,80093.0,82713.75,83763.5,85580.5,115325.0
348,11,1379.0,89089.87599709934,7763.736637473542,82362.0,85832.5,87588.0,89884.0,237405.0
851,11,1489.0,94755.08797850907,9661.362081428491,83415.0,88043.0,90895.0,101502.0,151214.0
870,11,1621.0,89435.71992597163,4068.4666483115843,84136.0,87183.0,88471.0,90041.0,113541.0
890,11,1394.0,89550.49067431851,4440.024545955282,84069.0,87255.5,88628.0,90075.75,114035.0
910,11,1226.0,98855.57259380099,14496.34449116613,85724.0,89525.0,91046.5,106594.5,149519.0
936,11,1307.0,93509.93267023719,11124.141493246683,84821.0,88614.0,89780.0,91826.5,154423.0
958,11,1511.0,87848.5612177366,3695.4627865370758,83086.0,86191.0,87059.0,88271.5,112249.0
979,11,1255.0,87078.5250996016,11547.715190339277,80182.0,82633.5,83576.0,85107.5,136819.0
1000,11,1230.0,85054.30162601625,3958.1428491859715,80012.0,83056.5,84133.0,85373.0,106822.0
1021,11,1358.0,83529.30854197349,3255.6991931604416,77103.0,81981.25,83132.5,84202.5,112034.0
1033,11,1327.0,84210.76940467219,7200.723472399924,76627.0,80930.5,82221.0,84250.5,204294.0
1062,11,981.0,109608.4240570846,183987.63914494973,78394.0,82580.0,83420.0,84717.0,1606873.0
1086,11,1382.0,86660.92764109986,6140.987301642244,81386.0,83989.75,85013.0,85948.75,123576.0
