raceId,circuitId,count,mean,std,min,25%,50%,75%,max
6,6,1277.0,78432.49882537196,3875.2853721644533,75154.0,76612.0,77254.0,78690.0,116114.0
23,6,1279.0,96772.89366692728,13697.25957917476,76689.0,88782.0,94382.0,101557.0,194914.0
40,6,1524.0,79119.62926509186,3478.3153926583755,75284.0,77590.0,78232.0,79685.0,104480.0
59,6,1558.0,81079.02310654685,8443.082653989537,75143.0,78200.5,79002.0,80237.25,136067.0
76,6,1209.0,82586.50537634408,9706.393226992157,75842.0,78274.0,79461.0,82332.0,159701.0
95,6,905.0,85515.9226519337,16976.021010993478,74439.0,77118.0,79164.0,83804.0,165854.0
114,6,1150.0,80484.47304347825,9888.15226701038,74545.0,76456.0,77579.0,79672.75,140491.0
130,6,1353.0,83429.29637841832,8223.976041464735,78023.0,81228.0,82450.0,83654.0,284091.0
147,6,1130.0,85217.3831858407,22486.889161827912,79424.0,82248.25,83351.5,85151.25,753601.0
164,6,1139.0,85511.05443371378,4481.875533867104,81571.0,83893.5,84784.0,85915.0,165302.0
178,6,1122.0,86060.88057040998,3637.416436161697,82259.0,84154.5,85120.0,86790.25,125301.0
196,6,1177.0,87478.9940526763,7942.006129093355,82948.0,85390.0,86739.0,87983.0,330053.0
211,6,771.0,119601.46692607003,8105.006827104538,113315.0,116370.0,117811.0,119924.5,271389.0
229,6,782.0,99796.0895140665,14934.972862007617,85205.0,87909.5,95723.5,109909.0,291438.0
342,6,1381.0,85808.72845763939,14587.540196613187,75192.0,77715.0,79853.0,83067.0,155664.0
846,6,1604.0,99203.54301745637,129071.0225053205,76234.0,80656.75,82048.0,84489.75,1314798.0
865,6,1446.0,82576.82849239281,6496.007414697928,77296.0,80041.0,80722.5,81836.0,135620.0
885,6,1503.0,106209.10978043912,161353.75203927254,76577.0,81568.5,82706.0,84560.0,1612127.0
905,6,1280.0,86113.0328125,11143.044948438717,78479.0,81276.75,82004.0,84010.5,161140.0
931,6,1429.0,84532.03079076277,9921.898340031488,78063.0,80467.0,81129.0,83227.0,171051.0
953,6,1357.0,95728.84008843036,18679.76633169458,77939.0,81342.0,91551.0,100215.0,292561.0
974,6,1414.0,80751.66831683168,8845.854876998152,74820.0,77200.0,77821.0,78869.5,124569.0
994,6,1513.0,79857.7495042961,4605.666977422423,74260.0,78302.0,79036.0,79731.0,147991.0
1015,6,1489.0,80587.34654130289,7184.807470575466,74279.0,77539.0,78582.0,79840.0,126558.0
1056,6,1418.0,77457.93159379407,3054.318971543849,72909.0,75954.0,76734.0,77919.5,98076.0
1080,6,1176.0,110229.84353741497,147863.43528565785,74693.0,78775.5,85113.5,98943.25,1297841.0
