raceId,circuitId,count,mean,std,min,25%,50%,75%,max
14,15,1038.0,115520.51734104047,13064.838695226705,108240.0,109856.5,111134.0,113659.0,196823.0
32,15,1066.0,115775.10131332083,17714.841061649164,105599.0,108345.75,109865.0,112149.0,232983.0
351,15,1205.0,118746.38921161825,13656.003172532672,107976.0,112959.0,114301.0,117807.0,344180.0
854,15,1335.0,120600.50561797753,10337.234568443313,108454.0,115429.5,117637.0,121117.0,196634.0
873,15,1280.0,123570.73359375,15493.881209940162,111033.0,116055.5,117670.0,121318.0,371753.0
893,15,1268.0,118799.22160883281,12929.220083188802,108574.0,112806.25,114239.0,116543.5,176299.0
913,15,1141.0,121152.02892199825,13827.56672858147,110417.0,114557.0,115840.0,118818.0,200433.0
939,15,1068.0,121017.76029962547,16170.137305089635,110041.0,112777.75,114105.0,118271.25,257359.0
962,15,1167.0,116025.70951156813,11702.36768680995,107187.0,111896.0,113063.0,114523.0,211999.0
982,15,845.0,130159.12071005917,26074.836162705837,105008.0,109341.0,123581.0,133230.0,220969.0
1003,15,1145.0,111642.22008733625,13598.034621799028,101905.0,106138.0,107752.0,109401.0,171298.0
1024,15,1162.0,116809.92685025817,17738.027948918345,102301.0,107833.75,109253.0,112278.5,188020.0
