raceId,circuitId,count,mean,std,min,25%,50%,75%,max,year
955,73,1028.0,111348.16147859923,4466.056810265249,106485.0,108832.25,110387.0,112026.0,143198.0,2016
976,73,824.0,149324.75,197297.0380960969,103441.0,106902.5,108692.5,126501.25,1703939.0,2017
992,73,841.0,121717.24019024971,23350.44329943942,105149.0,107763.0,109676.0,121811.0,216382.0,2018
1013,73,947.0,110312.68743400212,6980.738838926318,103009.0,107027.0,108320.0,110604.5,167246.0,2019
1057,73,941.0,151572.06376195536,266882.0304899378,104481.0,106651.0,107954.0,111823.0,2210714.0,2021
1081,73,889.0,112709.17547806524,9152.600210134831,106046.0,108726.0,110109.0,111215.0,164653.0,2022
