raceId,circuitId,count,mean,std,min,25%,50%,75%,max,year
42,19,1288.0,76220.01708074534,3889.429125364151,73117.0,74551.0,75355.0,76457.5,109783.0,2007
62,19,794.0,79691.13350125945,13387.619997323933,72719.0,73996.75,74572.0,75881.0,133839.0,2006
79,19,432.0,75122.35879629629,4619.020813406109,71497.0,73255.75,74295.5,75042.75,113758.0,2005
98,19,864.0,86033.70370370371,23965.572120908,70399.0,72154.5,73281.0,91667.25,168379.0,2004
122,19,1101.0,79481.83923705723,10054.419658246406,71473.0,74068.0,76397.0,80447.0,167667.0,2003
139,19,1315.0,76293.01977186312,5023.042275785382,72738.0,74658.5,75420.0,76325.0,187383.0,2002
156,19,1324.0,77606.37688821752,5082.0270917468815,74448.0,75949.0,76715.5,77755.75,173435.0,2001
172,19,1244.0,81014.95176848874,7604.3017886962425,74711.0,76629.75,77735.5,83750.5,135023.0,2000
